Date,Stock Name,Stock Code,Amount,Investor Type,Action,Return After
2019-01-14,UOL Group,U14,5.028522,institution,buy,-0.0015128424348503922
2019-01-14,Genting Singapore,G13,16.650807,institution,buy,0.01869161449409784
2019-01-14,Singtel,Z74,-12.003266,retail,sell,-0.0033005649105584123
2019-01-14,DBS,D05,-36.253962,retail,sell,-0.01878508819755942
2019-01-14,OCBC,O39,-29.487349,retail,sell,-0.015411075986495604
2019-01-14,Yangzijiang Shipbuilding,BS6,-13.010693,retail,sell,0.030769390492612736
2019-01-14,ST Engineering,S63,-14.219631,retail,sell,0.013850468050971232
2019-01-14,Thai Beverage,Y92,-15.2373435,retail,sell,0.03521135314551138
2019-01-14,UOB ,U11,-19.410325,retail,sell,-0.0181132315679563
2019-01-14,Yanlord Land,Z25,2.179424,retail,buy,-0.023255936291046275
2019-01-14,Sembcorp Industries,U96,5.864585,retail,buy,0.015094089433947078
2019-01-14,SGX,S68,-15.448137,retail,sell,0.017808016117022873
2019-01-14,CapitaLand Mall Trust,C38U,2.544549,retail,buy,-0.02575101612822417
2019-01-14,Jardine Matheson,J36,2.721026816,retail,buy,-0.011094729638576273
2019-01-14,Genting Singapore,G13,-16.903413,retail,sell,0.01869161449409784
2019-01-14,ComfortDelGro,C52,2.443733,retail,buy,0.023364372436843972
2019-01-14,StarHub,CC3,2.287221,retail,buy,0.011363760528593891
2019-01-21,DBS,D05,-96.57419,institution,sell,-0.013441595811467422
2019-01-21,UOB,U11,-49.881548,institution,sell,-0.018831691401631545
2019-01-21,Keppel Corporation,BN4,-25.975636,institution,sell,-0.01296594942754803
2019-01-21,Yangzijiang Shipbuilding,BS6,-4.556573,retail,sell,0.022387465138060225
2019-01-21,Ascendas REIT,A17U,-14.761615,institution,sell,0.01844992080723773
2019-01-21,Suntec REIT,T82U,-4.839486,retail,sell,0.048387190257031865
2019-01-21,CapitaLand Mall Trust,C38U,3.486059,institution,buy,0.05726898975405237
2019-01-21,Singtel,Z74,-17.972432,institution,sell,0.0
2019-01-21,OCBC,O39,-37.124095,institution,sell,-0.008695731657495043
2019-01-21,ComfortDelGro,C52,21.489954,institution,buy,0.036529533953336246
2019-01-21,Venture Corporation,V03,9.327129,institution,buy,0.03846144752057712
2019-01-21,Thai Beverage,Y92,8.9381795,institution,buy,0.006802854387486734
2019-01-21,City Developments,C09,5.658105,institution,buy,0.024719247191150373
2019-01-21,Yangzijiang Shipbuilding,BS6,4.908894,institution,buy,0.022387465138060225
2019-01-21,Sembcorp Industries,U96,-13.71214,institution,sell,-0.03345719756685528
2019-01-21,OCBC,O39,12.233014,retail,buy,-0.008695731657495043
2019-01-21,UOB,U11,4.253153,retail,buy,-0.018831691401631545
2019-01-21,SGX,S68,-26.484747,retail,sell,0.02557202532846703
2019-01-21,Venture Corporation,V03,-15.267096,retail,sell,0.03846144752057712
2019-01-21,SIA,C6L,-5.918138,retail,sell,0.0031218373152115397
2019-01-21,Thai Beverage,Y92,-10.610615,retail,sell,0.006802854387486734
2019-01-21,Keppel REIT,K71U,2.397306,retail,buy,0.003013283255037136
2019-01-21,ComfortDelGro,C52,-14.802811,retail,sell,0.036529533953336246
2019-01-21,SGX,S68,23.67770903125,institution,buy,0.02557202532846703
2019-01-21,Genting Singapore,G13,4.36255,retail,buy,0.0
2019-01-21,Sembcorp Industries,U96,7.149827,retail,buy,-0.03345719756685528
2019-01-21,Keppel Corporation,BN4,13.330466,retail,buy,-0.01296594942754803
2019-01-21,Singtel,Z74,3.042737,retail,buy,0.0
2019-01-21,Mapletree Logistics Trust,M44U,-4.629129,retail,sell,0.0378210215779593
2019-01-21,Genting Singapore,G13,-12.782701,institution,sell,0.0
2019-01-21,Wilmar International,F34,-4.931626,retail,sell,0.027950180771534994
2019-01-21,DBS,D05,49.01619,retail,buy,-0.013441595811467422
2019-01-28,Yoma Strategic ,Z59,2.140848,retail,buy,-0.014705868173635839
2019-01-28,Golden Agri-Resources,E5H,2.743137,retail,buy,-0.0384614395073013
2019-01-28,Sembcorp Industries,U96,5.957987,retail,buy,-0.011538622786662178
2019-01-28,Singtel,Z74,8.587714,retail,buy,0.0
2019-01-28,SGX,S68,-33.629856,retail,sell,0.0006238164578162841
2019-01-28,OCBC,O39,4.694634,retail,buy,-0.0017540872853804013
2019-01-28,Thai Beverage,Y92,-7.3233255,retail,sell,0.5207898023641206
2019-01-28,Yangzijiang Shipbuilding,BS6,-14.501475,retail,sell,0.029197133617869797
2019-01-28,UOB,U11,19.564475,retail,buy,-0.010967350906594175
2019-01-28,ComfortDelGro,C52,-6.820601,retail,sell,0.022026330231276425
2019-01-28,ST Engineering,S63,-9.213311,retail,sell,0.002717335102861318
2019-01-28,Genting Singapore,G13,-10.594602,retail,sell,0.009174291382101796
2019-01-28,Keppel Corporation,BN4,33.651451,retail,buy,-0.013136273687851086
2019-01-28,UOL Group,U14,-4.919929,institution,sell,-0.004524918549983825
2019-01-28,Singtel,Z74,-34.947817,institution,sell,0.0
2019-01-28,Thai Beverage,Y92,7.0036025,institution,buy,0.5207898023641206
2019-01-28,ComfortDelGro,C52,5.370355,institution,buy,0.022026330231276425
2019-01-28,Genting Singapore,G13,5.336825,institution,buy,0.009174291382101796
2019-01-28,Frasers Logistics & Industrial Trust,BUOU,4.980403,institution,buy,0.027777678137352213
2019-01-28,UOB,U11,-64.21072,institution,sell,-0.010967350906594175
2019-01-28,Keppel Corporation,BN4,-39.292904,institution,sell,-0.013136273687851086
2019-01-28,SGX,S68,27.696641,institution,buy,0.0006238164578162841
2019-01-28,DBS,D05,-78.338363,institution,sell,-0.0016517823357985462
2019-01-28,SIA,C6L,-8.240575,institution,sell,0.0020744733631674617
2019-01-28,OCBC,O39,-10.017616,institution,sell,-0.0017540872853804013
2019-01-28,CapitaLand Mall Trust,C38U,6.632449,institution,buy,0.00233142248845275
2019-01-28,Sembcorp Industries,U96,-11.19341,institution,sell,-0.011538622786662178
2019-01-28,DBS,D05,36.462309,retail,buy,-0.0016517823357985462
2019-01-28,Venture Corporation,V03,-7.731993,institution,sell,-0.0018834611088717201
2019-01-28,Yangzijiang Shipbuilding,BS6,19.697073,institution,buy,0.029197133617869797
2019-02-04,ComfortDelGro,C52,2.124729,retail,buy,0.00431069575780163
2019-02-04,Sembcorp Industries,U96,8.110373,retail,buy,-0.011672553553038978
2019-02-04,UOB,U11,5.93744,retail,buy,0.003564342469571047
2019-02-04,Venture Corporation,V03,5.82269,retail,buy,-0.0012576430645679926
2019-02-04,Thai Beverage,Y92,4.102243,retail,buy,0.9736561185796695
2019-02-04,StarHub,CC3,-4.119721,retail,sell,0.04395589857061921
2019-02-04,CapitaLand Retail China Trust,AU8U,-1.786796,institution,sell,0.005644827778640726
2019-02-04,DBS,D05,-6.906951,retail,sell,0.006617012967142344
2019-02-04,SGX,S68,-5.062163,retail,sell,0.003973399596254978
2019-02-04,Genting Singapore,G13,-4.645359,retail,sell,-0.0090908889182435
2019-02-04,Keppel Corporation,BN4,12.914415,retail,buy,0.0033280455417863397
2019-02-04,OCBC,O39,1.792141,retail,buy,0.009665840406112514
2019-02-04,ST Engineering,S63,-3.614547,retail,sell,0.013550187357874499
2019-02-04,Singtel,Z74,-8.408824,retail,sell,0.003311494713812424
2019-02-04,Singtel,Z74,6.414762,institution,buy,0.003311494713812424
2019-02-04,Sembcorp Industries,U96,-6.811136,institution,sell,-0.011672553553038978
2019-02-04,ComfortDelGro,C52,-5.551649,institution,sell,0.00431069575780163
2019-02-04,ST Engineering,S63,5.993738,institution,buy,0.013550187357874499
2019-02-04,Mapletree Commercial Trust,N2IU,5.001723,institution,buy,-0.011049710019484182
2019-02-04,SGX,S68,4.398834,institution,buy,0.003973399596254978
2019-02-04,OCBC,O39,4.346077,institution,buy,0.009665840406112514
2019-02-04,City Developments,C09,4.330551,institution,buy,0.020925171349836402
2019-02-04,StarHub,CC3,4.205354,institution,buy,0.04395589857061921
2019-02-04,Venture Corporation,V03,-8.752245,institution,sell,-0.0012576430645679926
2019-02-04,CapitaLand Mall Trust,C38U,-1.503416,institution,sell,-0.0041841150795278725
2019-02-04,Frasers L&I Trust,BUOU,-2.544184,institution,sell,-0.009008900008632192
2019-02-04,Keppel Corporation,BN4,-11.557831,institution,sell,0.0033280455417863397
2019-02-04,Keppel REIT,K71U,-3.642318,retail,sell,0.03361354269942529
2019-02-04,DBS,D05,22.598368,institution,buy,0.006617012967142344
2019-02-04,Yangzijiang Shipbuilding,BS6,-3.491292,retail,sell,0.0
2019-02-04,SIA,C6L,5.338143,institution,buy,-0.0010349250640788732
2019-02-11,Keppel Corporation,BN4,5.60531,retail,buy,0.014925133678182823
2019-02-11,Yangzijiang Shipbuilding,BS6,5.908544,retail,buy,-0.014184314783290297
2019-02-11,NetLink NBN Trust,CJLU,5.9600455,retail,buy,-0.00621143615709574
2019-02-11,DBS,D05,10.315026,retail,buy,0.03122451876211496
2019-02-11,SIA Engineering,S59,7.120117,retail,buy,0.01298680707533606
2019-02-11,Jardine Cycle & Carriage,C07,9.108775,retail,buy,-0.002475893030413401
2019-02-11,SGX,S68,-28.093403,retail,sell,0.025066146183936544
2019-02-11,Valuetronics Holdings,BN2,6.895254,retail,buy,-0.07482999037289906
2019-02-11,NetLink NBN Trust,CJLU,-5.5366155,institution,sell,-0.00621143615709574
2019-02-11,Thai Beverage,Y92,-25.672979,retail,sell,0.10416668931622097
2019-02-11,ST Engineering,S63,-16.687943,retail,sell,-0.002673741504649052
2019-02-11,SIA,C6L,-11.063481,retail,sell,0.018652721532841587
2019-02-11,Keppel REIT,K71U,-8.64056,retail,sell,0.0
2019-02-11,City Developments,C09,-6.457185,retail,sell,0.01941750708610046
2019-02-11,Jardine Matheson,J36,-5.3284116698,retail,sell,0.03966040932430559
2019-02-11,Singtel,Z74,16.270435,retail,buy,-0.009901222169263701
2019-02-11,Venture Corporation,V03,-4.28933,retail,sell,0.014483627650407005
2019-02-11,Genting Singapore,G13,13.057052,retail,buy,0.0
2019-02-11,SATS,S58,-17.155962,retail,sell,0.0493827120365844
2019-02-11,StarHub,CC3,17.386108,retail,buy,-0.13684207571814555
2019-02-11,Keppel REIT,K71U,8.505499,institution,buy,0.0
2019-02-11,Thai Beverage,Y92,30.34478,institution,buy,0.10416668931622097
2019-02-11,City Developments,C09,13.521176,institution,buy,0.01941750708610046
2019-02-11,SATS,S58,19.548531,institution,buy,0.0493827120365844
2019-02-11,Jardine Matheson,J36,17.1877324228999,institution,buy,0.03966040932430559
2019-02-11,SIA,C6L,8.427418,institution,buy,0.018652721532841587
2019-02-11,UOB,U11,16.390679,institution,buy,0.018152851507496015
2019-02-11,Jardine Cycle & Carriage,C07,-17.034937,institution,sell,-0.002475893030413401
2019-02-11,Yangzijiang Shipbuilding,BS6,-6.056762,institution,sell,-0.014184314783290297
2019-02-11,SGX,S68,31.112432,institution,buy,0.025066146183936544
2019-02-11,SIA Engineering,S59,-6.406137,institution,sell,0.01298680707533606
2019-02-11,Genting Singapore,G13,-6.08132,institution,sell,0.0
2019-02-11,Far East Hospitality Trust,Q5T,-6.008183,institution,sell,0.02343732965398604
2019-02-11,Valuetronics Holdings,BN2,-5.6504965,institution,sell,-0.07482999037289906
2019-02-11,ComfortDelGro,C52,-4.257652,institution,sell,0.042918437198306014
2019-02-11,Sunpower Group,5GD,-5.2343415,retail,sell,0.030303082068230625
2019-02-11,DBS,D05,26.81533,institution,buy,0.03122451876211496
2019-02-11,StarHub,CC3,-15.448826,institution,sell,-0.13684207571814555
2019-02-18,City Developments,C09,3.455845,retail,buy,-0.02010587710253764
2019-02-18,UOB,U11,44.898779,retail,buy,-0.019379774360563262
2019-02-18,Genting Singapore,G13,10.397099,retail,buy,-0.04587165450029507
2019-02-18,StarHub,CC3,21.94239,retail,buy,-0.024390313600022417
2019-02-18,Venture Corporation,V03,7.097933,retail,buy,0.12290499453634651
2019-02-18,OCBC,O39,56.465852,retail,buy,-0.0378005287129175
2019-02-18,SGX,S68,-21.041121,retail,sell,0.006434953035404423
2019-02-18,Keppel Corporation,BN4,-27.342863,retail,sell,0.024509731486773045
2019-02-18,SIA,C6L,-22.58554,retail,sell,0.027466914121144992
2019-02-18,Singtel,Z74,-20.696469,retail,sell,0.030000042001357086
2019-02-18,Raffles Medical Group,BSL,1.879266,retail,buy,-0.008928546898757994
2019-02-18,Yangzijiang Shipbuilding,BS6,-9.998919,retail,sell,0.05036061563221961
2019-02-18,Keppel Corporation,BN4,22.95162,institution,buy,0.024509731486773045
2019-02-18,Mapletree Commercial Trust,N2IU,-3.612642,institution,sell,0.005618061232496974
2019-02-18,UOB,U11,-64.584614,institution,sell,-0.019379774360563262
2019-02-18,Singtel,Z74,8.421951,institution,buy,0.030000042001357086
2019-02-18,SIA,C6L,19.887284,institution,buy,0.027466914121144992
2019-02-18,SGX,S68,11.266509,institution,buy,0.006434953035404423
2019-02-18,Singapore Post,S08,6.1247555,institution,buy,0.035897294336601826
2019-02-18,SATS,S58,9.586678,institution,buy,0.00980401975444356
2019-02-18,OCBC,O39,-88.79184,institution,sell,-0.0378005287129175
2019-02-18,DBS,D05,-39.076423,institution,sell,0.0027887421013121916
2019-02-18,Genting Singapore,G13,-12.631053,institution,sell,-0.04587165450029507
2019-02-18,Sembcorp Industries,U96,-9.477672,retail,sell,0.02723726668930926
2019-02-18,SATS,S58,-8.186072,retail,sell,0.00980401975444356
2019-02-18,Yangzijiang Shipbuilding,BS6,5.855068,institution,buy,0.05036061563221961
2019-02-18,City Developments,C09,-10.662237,institution,sell,-0.02010587710253764
2019-02-18,StarHub,CC3,-22.355155,institution,sell,-0.024390313600022417
2019-02-18,Venture Corporation,V03,-8.233175,institution,sell,0.12290499453634651
2019-02-25,OCBC,O39,90.72546,retail,buy,0.0
2019-02-25,Genting Singapore,G13,36.416904,retail,buy,-0.01923072807840509
2019-02-25,City Developments,C09,17.59136,retail,buy,-0.04967584447186124
2019-02-25,Keppel Corporation,BN4,14.341591,retail,buy,-0.006379661960681737
2019-02-25,UnUsUaL,1D1,12.14924546,retail,buy,0.0943396502264302
2019-02-25,Jardine Cycle & Carriage,C07,11.182221,retail,buy,-0.08649099267145821
2019-02-25,Singtel,Z74,9.559409,retail,buy,-0.03236245204876165
2019-02-25,StarHub,CC3,-9.435587,institution,sell,-0.012499834610176452
2019-02-25,UOB,U11,59.294061,retail,buy,-0.005928733966393818
2019-02-25,DBS,D05,-12.583378,retail,sell,0.010329730538155113
2019-02-25,SGX,S68,-10.614396,retail,sell,0.023017937895349894
2019-02-25,Thai Beverage,Y92,-7.4362475,retail,sell,-0.018518345950470416
2019-02-25,ST Engineering,S63,-4.77514,retail,sell,0.0
2019-02-25,Venture Corporation,V03,-50.870548,retail,sell,0.034825965927577585
2019-02-25,StarHub,CC3,8.865184,retail,buy,-0.012499834610176452
2019-02-25,AEM Holdings,AWX,-12.60549,retail,sell,0.054545854810078565
2019-02-25,SATS,S58,-3.188051,retail,sell,-0.007767005975375052
2019-02-25,SIA,C6L,4.90337,institution,buy,-0.023762268848913193
2019-02-25,UnUsUaL,1D1,-12.06789946,institution,sell,0.0943396502264302
2019-02-25,ST Engineering,S63,5.371486,institution,buy,0.0
2019-02-25,AEM Holdings,AWX,8.719106,institution,buy,0.054545854810078565
2019-02-25,Thai Beverage,Y92,9.56867,institution,buy,-0.018518345950470416
2019-02-25,Jardine Matheson,J36,-9.8260207181,institution,sell,-0.0303464819918291
2019-02-25,DBS,D05,5.385645,institution,buy,0.010329730538155113
2019-02-25,Suntec REIT,T82U,3.60124,institution,buy,0.0
2019-02-25,City Developments,C09,-18.554515,institution,sell,-0.04967584447186124
2019-02-25,SGX,S68,13.28318,institution,buy,0.023017937895349894
2019-02-25,Genting Singapore,G13,-42.206612,institution,sell,-0.01923072807840509
2019-02-25,Singtel,Z74,-14.350373,institution,sell,-0.03236245204876165
2019-02-25,Keppel Corporation,BN4,-13.586193,institution,sell,-0.006379661960681737
2019-02-25,Hongkong Land,H78,3.4324964467,institution,buy,0.008230497352519128
2019-02-25,Keppel REIT,K71U,-2.819048,retail,sell,0.02439019755619043
2019-02-25,Venture Corporation,V03,48.337771,institution,buy,0.034825965927577585
2019-02-25,OCBC,O39,-71.325006,institution,sell,0.0
2019-02-25,UOB,U11,-64.004127,institution,sell,-0.005928733966393818
2019-03-04,UOL Group,U14,-11.715355,institution,sell,-0.012158084470683561
2019-03-04,CapitaLand Mall Trust,C38U,-9.597485,institution,sell,0.01680678182739337
2019-03-04,StarHub,CC3,-7.143931,institution,sell,-0.012658365084423862
2019-03-04,Singtel,Z74,21.200882,retail,buy,-0.01337801899504576
2019-03-04,UOB,U11,24.12589,retail,buy,-0.004373937371707659
2019-03-04,Jardine Matheson,J36,-12.7025976666,institution,sell,-0.009890645553753408
2019-03-04,OCBC,O39,-15.912965,institution,sell,-0.014285797675590572
2019-03-04,CapitaLand Retail China Trust,AU8U,5.521061,institution,buy,0.0066223174378592375
2019-03-04,UOB,U11,-22.454965,institution,sell,-0.004373937371707659
2019-03-04,Singtel,Z74,-31.109926,institution,sell,-0.01337801899504576
2019-03-04,Ascendas REIT,A17U,7.696748,institution,buy,0.0035585860292530747
2019-03-04,City Developments,C09,5.956865,institution,buy,0.021590663647871544
2019-03-04,AEM Holdings,AWX,6.035503,institution,buy,0.0948274977328114
2019-03-04,Venture Corporation,V03,6.85017,institution,buy,-0.020299220177114607
2019-03-04,OCBC,O39,20.782885,retail,buy,-0.014285797675590572
2019-03-04,Genting Singapore,G13,-13.98718,institution,sell,0.0
2019-03-04,SGX,S68,26.533228,institution,buy,-0.08125013326018038
2019-03-04,First REIT,AW9U,-4.5724995,institution,sell,0.0
2019-03-04,StarHub,CC3,8.969783,retail,buy,-0.012658365084423862
2019-03-04,AEM Holdings,AWX,-5.595426,retail,sell,0.0948274977328114
2019-03-04,UOL Group,U14,8.654402,retail,buy,-0.012158084470683561
2019-03-04,Mapletree Industrial Trust,ME8U,-4.018075,retail,sell,0.00492629765000463
2019-03-04,ComfortDelGro,C52,16.919453,institution,buy,0.008264336834733488
2019-03-04,CapitaLand Retail China Trust,AU8U,-4.496138,retail,sell,0.0066223174378592375
2019-03-04,Keppel REIT,K71U,-7.382998,retail,sell,0.015872965108004733
2019-03-04,Frasers Logistics & Industrial Trust,BUOU,-9.223031,retail,sell,0.02608709322315894
2019-03-04,SGX,S68,-22.940961,retail,sell,-0.08125013326018038
2019-03-04,DBS,D05,-29.750417,retail,sell,-0.005112169794055044
2019-03-04,Genting Singapore,G13,6.388379,retail,buy,0.0
2019-03-04,Venture Corporation,V03,6.691884,retail,buy,-0.020299220177114607
2019-03-04,Dairy Farm International,D01,7.0824476924,retail,buy,-0.0756301959999176
2019-03-04,Keppel Corporation,BN4,7.742456,retail,buy,-0.01605126303879234
2019-03-04,DBS,D05,35.072018,institution,buy,-0.005112169794055044
2019-03-11,Keppel REIT,K71U,10.727283,institution,buy,-0.023437079908852687
2019-03-11,SGX,S68,-29.5475,institution,sell,0.0
2019-03-11,StarHub,CC3,-13.523055,institution,sell,0.006410430390342059
2019-03-11,UOB,U11,-19.736201,institution,sell,0.020766894820860804
2019-03-11,CapitaLand Mall Trust,C38U,-19.05303,institution,sell,-0.016528982819320248
2019-03-11,Venture Corporation,V03,-23.620628,institution,sell,-0.018538625068000303
2019-03-11,Singtel,Z74,11.63445,institution,buy,0.020338980089220193
2019-03-11,DBS,D05,-18.330083,institution,sell,0.004743036905768161
2019-03-11,Frasers Logistics & Industrial Trust,BUOU,15.153539,institution,buy,-0.03389825933201096
2019-03-11,Yangzijiang Shipbuilding,BS6,19.567788,institution,buy,0.0638296316276965
2019-03-11,ComfortDelGro,C52,-2.854409,retail,sell,0.028688303378229696
2019-03-11,Wilmar International,F34,-4.037035,retail,sell,0.018518493106384204
2019-03-11,Mapletree Logistics Trust,M44U,16.339972,institution,buy,-0.006993505447188686
2019-03-11,ST Engineering,S63,13.063832,institution,buy,0.013369034436466753
2019-03-11,OCBC,O39,-75.266638,institution,sell,0.02083355830710576
2019-03-11,Mapletree Commercial Trust,N2IU,17.157346,institution,buy,0.011049621216864036
2019-03-11,UOB,U11,12.319693,retail,buy,0.020766894820860804
2019-03-11,CapitaLand Mall Trust,C38U,7.800913,retail,buy,-0.016528982819320248
2019-03-11,Yangzijiang Shipbuilding,BS6,-16.354545,retail,sell,0.0638296316276965
2019-03-11,Singtel,Z74,-11.677566,retail,sell,0.020338980089220193
2019-03-11,Thai Beverage,Y92,-7.437218,retail,sell,0.024844811091615293
2019-03-11,Thomson Medical Group,A50,-4.5861974000000005,retail,sell,0.0
2019-03-11,ST Engineering,S63,-5.692141,retail,sell,0.013369034436466753
2019-03-11,Hongkong Land,H78,-4.0932247169,retail,sell,0.004466576120204069
2019-03-11,Keppel Corporation,BN4,-11.939375,institution,sell,0.013050555851131573
2019-03-11,Dairy Farm International,D01,7.3538824135,retail,buy,-0.01842884603615602
2019-03-11,CSE Global ,544,-3.0374015,retail,sell,0.0
2019-03-11,Sembcorp Industries,U96,8.354155,retail,buy,0.003891287317307812
2019-03-11,Venture Corporation,V03,16.751914,retail,buy,-0.018538625068000303
2019-03-11,OCBC,O39,37.925008,retail,buy,0.02083355830710576
2019-03-11,SGX,S68,46.262369,retail,buy,0.0
2019-03-11,Sembcorp Industries,U96,-9.289469,institution,sell,0.003891287317307812
2019-03-11,Keppel Infrastructure Trust,A7RU,7.6494645,retail,buy,0.010204350281051378
2019-03-11,Dairy Farm International,D01,-11.864511190100002,institution,sell,-0.01842884603615602
2019-03-11,Keppel Corporation,BN4,13.092207,retail,buy,0.013050555851131573
2019-03-18,Singtel,Z74,3.855724,retail,buy,-0.003322211091840943
2019-03-18,CapitaLand Mall Trust,C38U,-5.281875,retail,sell,0.012605152761675065
2019-03-18,ComfortDelGro,C52,10.567587,institution,buy,0.023904557419347716
2019-03-18,StarHub,CC3,4.828164,retail,buy,-0.038216767683505015
2019-03-18,City Developments,C09,-4.108502,retail,sell,-0.006637099576839112
2019-03-18,Haw Par Corporation,H02,3.030858,retail,buy,-0.004615405875963319
2019-03-18,First REIT,AW9U,4.3824005,retail,buy,0.0
2019-03-18,Straits Trading,S20,2.54498,retail,buy,0.0
2019-03-18,OCBC,O39,-14.645376,retail,sell,-0.02129582361944493
2019-03-18,Yangzijiang Shipbuilding,BS6,-18.11665,retail,sell,0.0
2019-03-18,DBS,D05,-14.129671,retail,sell,-0.01258824352954624
2019-03-18,ComfortDelGro,C52,-13.653692,retail,sell,0.023904557419347716
2019-03-18,Keppel Corporation,BN4,-10.948075,retail,sell,-0.004830785353772016
2019-03-18,Thai Beverage,Y92,-8.4049265,retail,sell,-0.006060729282725497
2019-03-18,UOL Group,U14,-8.319989,retail,sell,0.004497619201192293
2019-03-18,Yangzijiang Shipbuilding,BS6,32.24297,institution,buy,0.0
2019-03-18,UOL Group,U14,13.301241,institution,buy,0.004497619201192293
2019-03-18,UOB,U11,2.488665,retail,buy,-0.021517915661847464
2019-03-18,SGX,S68,-7.612083,institution,sell,-0.012244718603305005
2019-03-18,UOB,U11,-26.852068,institution,sell,-0.021517915661847464
2019-03-18,Jardine Cycle & Carriage,C07,7.285069,retail,buy,-0.011039545505550752
2019-03-18,Keppel REIT,K71U,4.513038,institution,buy,0.01599968484326264
2019-03-18,Venture Corporation,V03,6.38375,institution,buy,-0.02000006253602349
2019-03-18,CapitaLand Mall Trust,C38U,6.20623,institution,buy,0.012605152761675065
2019-03-18,Keppel Corporation,BN4,5.735562,institution,buy,-0.004830785353772016
2019-03-18,Mapletree Industrial Trust,ME8U,5.554651,institution,buy,0.029703063312264355
2019-03-18,City Developments,C09,4.601361,institution,buy,-0.006637099576839112
2019-03-18,Singtel,Z74,-34.960608,institution,sell,-0.003322211091840943
2019-03-18,Dairy Farm International,D01,5.5793538421,institution,buy,0.11470987904123664
